Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
01/02/2009 6:17,Product1,1200,Mastercard,carolina,Basildon,England,United Kingdom,01/02/2009 6:00,01/02/2009 6:08,51.5,-1.1166667
01/02/2009 4:53,Product1,1200,Visa,Betina,Parkville                   ,MO,United States,01/02/2009 4:42,01/02/2009 7:49,39.195,-94.68194
01/02/2009 13:08,Product1,1200,Mastercard,Federica e Andrea,Astoria                     ,OR,United States,01/01/2009 16:21,01/03/2009 12:32,46.18806,-123.83
01/03/2009 14:44,Product1,1200,Visa,Gouya,Echuca,Victoria,Australia,9/25/05 21:13,01/03/2009 14:22,-36.1333333,144.75
01/04/2009 12:56,Product2,3600,Visa,Gerd W ,Cahaba Heights              ,AL,United States,11/15/08 15:47,01/04/2009 12:45,33.52056,-86.8025
01/04/2009 13:19,Product1,1200,Visa,LAURENCE,Mickleton                   ,NJ,United States,9/24/08 15:19,01/04/2009 13:04,39.79,-75.23806
01/04/2009 20:11,Product1,1200,Mastercard,Fleur,Peoria                      ,IL,United States,01/03/2009 9:38,01/04/2009 19:45,40.69361,-89.58889
01/02/2009 20:09,Product1,1200,Mastercard,adam,Martin                      ,TN,United States,01/02/2009 17:43,01/04/2009 20:01,36.34333,-88.85028
01/04/2009 13:17,Product1,1200,Mastercard,Renee Elisabeth,Tel Aviv,Tel Aviv,Israel,01/04/2009 13:03,01/04/2009 22:10,32.0666667,34.7666667
